Label,TimeStamp,First Name,Email,Phone,Origin ZIP,Destination ZIP,Destination City,Destination State,Move Size,Move Date,Conversion,Validation,Notes,Gronat,Sheets
ConAds,2023-09-29,Matthew,matthew.l@outlook.com,6693147847,45806,71961,,,1 Bedroom,10/09/2023,,1,,0,0
Top10,2023-09-28,John,john.n@gmail.com,1848685581,58272,49967,,,5 Bedrooms,10/25/2023,,1,,1,1
CrispX,2023-09-27,Anthony,anthony.s@outlook.com,6930387878,42328,51215,,,3 Bedrooms,10/01/2023,,1,,1,1
ConAds,2023-09-26,Micheal,micheal.k@gmail.com,2570630358,60121,56862,,,1 Bedroom,10/23/2023,,1,,0,0
CrispX,2023-09-25,Jack,jack.b@gmail.com,7300194948,29318,26274,,,Studio,10/15/2023,,1,,1,1
Top10,2023-09-24,Raul,raul.o@outlook.com,1936414236,48766,91710,,,1 Bedroom,10/05/2023,,1,,1,0
ConAds,2023-09-23,Matthew,matthew.i@outlook.com,4549183492,70968,57580,,,Studio,10/04/2023,,1,,1,1
CrispX,2023-09-22,John,john.a@gmail.com,8318756732,68008,67951,,,5 Bedrooms,10/09/2023,,1,,1,1
IQ Media,2023-09-21,Anthony,anthony.n@gmail.com,5406397916,33675,75705,,,3 Bedrooms,10/10/2023,,1,,1,1
Top10,2023-09-20,Micheal,micheal.b@outlook.com,6568056223,68883,39555,,,Studio,10/12/2023,,1,,1,1
CrispX,2023-09-19,Jack,jack.y@outlook.com,7043887492,77670,29604,,,Studio,10/19/2023,,1,,1,1
CrispX,2023-09-18,Raul,raul.l@gmail.com,1778206147,58417,67225,,,4 Bedrooms,09/23/2023,,1,,1,1
CrispX,2023-09-17,Matthew,matthew.n@outlook.com,5114751653,95545,34295,,,3 Bedrooms,09/23/2023,,1,,1,1
Top10,2023-09-16,John,john.p@outlook.com,2538781879,91209,83304,,,5 Bedrooms,10/07/2023,,1,,1,1
ConAds,2023-09-15,Anthony,anthony.t@outlook.com,9500595163,25680,14713,,,Studio,09/20/2023,,1,,0,1
CrispX,2023-09-14,Micheal,micheal.d@outlook.com,3196986992,58388,14981,,,2 Bedrooms,09/18/2023,,1,,1,0
ConAds,2023-09-13,Jack,jack.c@gmail.com,0289897781,90159,90404,,,2 Bedrooms,10/02/2023,,1,,1,1
Top10,2023-09-12,Raul,raul.y@outlook.com,4203263235,12305,20588,,,Studio,10/05/2023,,1,,1,1
CrispX,2023-09-11,Matthew,matthew.h@gmail.com,1701221040,51685,13995,,,3 Bedrooms,10/06/2023,,1,,1,1
Top10,2023-09-10,John,john.l@gmail.com,0176836706,97263,75466,,,5 Bedrooms,10/07/2023,,1,,1,0
ConAds,2023-09-09,Anthony,anthony.t@outlook.com,3149153871,82618,91026,,,2 Bedrooms,09/23/2023,,1,,1,1
IQ Media,2023-09-08,Micheal,micheal.l@outlook.com,1573429301,31759,30912,,,Studio,09/19/2023,,1,,1,1
ConAds,2023-09-07,Jack,jack.v@gmail.com,5338375307,41003,13458,,,4 Bedrooms,09/18/2023,,1,,1,1
IQ Media,2023-09-06,Raul,raul.r@outlook.com,8882350944,26660,11904,,,2 Bedrooms,10/01/2023,,1,,1,1
Top10,2023-09-05,Matthew,matthew.u@outlook.com,0200956917,85734,71508,,,Studio,09/11/2023,,1,,1,0
CrispX,2023-09-04,John,john.e@outlook.com,3961067572,83647,18637,,,5 Bedrooms,09/18/2023,,1,,1,1
ConAds,2023-09-03,Anthony,anthony.r@gmail.com,2507319568,99610,90001,,,5 Bedrooms,09/26/2023,,1,,1,1
CrispX,2023-09-02,Micheal,micheal.t@outlook.com,8083756822,65110,43165,,,4 Bedrooms,09/16/2023,,1,,1,1
IQ Media,2023-09-01,Jack,jack.h@outlook.com,0262162135,41091,90933,,,2 Bedrooms,09/20/2023,,1,,1,1
